realization,seed,t,inter_edge_decay_rate,S,I,R,D,prevalence,s_frac,r_frac,d_frac,mean_infected_virulence,virulence_variance,active_edges,inter_edges,realized_clustering,cumulative_deaths,cumulative_intercommunity_transmissions,extinct
0,,100.0,0.02,33,3,84,0,0.025,0.275,0.7,0.0,0.39552071001181793,0.00012481902581992538,478.0,0.0,0.6233796296296302,6,7,0
0,,101.0,0.02,33,3,84,0,0.025,0.275,0.7,0.0,0.39552071001181793,0.00012481902581992538,478.0,0.0,0.6233796296296302,6,7,0
0,,102.0,0.02,34,3,83,0,0.025,0.2833333333333333,0.6916666666666667,0.0,0.39552071001181793,0.00012481902581992538,477.0,0.0,0.6244708994709001,6,7,0
0,,103.0,0.02,35,4,81,0,0.03333333333333333,0.2916666666666667,0.675,0.0,0.38676237299817806,0.0003237396710984288,477.0,0.0,0.6244708994709001,6,7,0
0,,104.0,0.02,34,4,82,0,0.03333333333333333,0.2833333333333333,0.6833333333333333,0.0,0.3968232843417817,0.0008723491849547975,476.0,0.0,0.6226256613756622,6,7,0
0,,105.0,0.02,34,3,83,0,0.025,0.2833333333333333,0.6916666666666667,0.0,0.3933733364994569,0.001115523686147349,479.0,0.0,0.6255621693121699,6,7,0
0,,106.0,0.02,36,3,81,0,0.025,0.3,0.675,0.0,0.3933733364994569,0.001115523686147349,478.0,0.0,0.6259788359788366,6,7,0
0,,107.0,0.02,39,3,78,0,0.025,0.325,0.65,0.0,0.3933733364994569,0.001115523686147349,478.0,0.0,0.6259788359788366,6,7,0
0,,108.0,0.02,38,3,79,0,0.025,0.31666666666666665,0.6583333333333333,0.0,0.41465005990266773,0.0006215100353420453,478.0,0.0,0.6259788359788366,6,8,0
0,,109.0,0.02,38,3,79,0,0.025,0.31666666666666665,0.6583333333333333,0.0,0.41465005990266773,0.0006215100353420453,478.0,0.0,0.6259788359788366,6,8,0
0,,110.0,0.02,38,3,79,0,0.025,0.31666666666666665,0.6583333333333333,0.0,0.41465005990266773,0.0006215100353420453,477.0,0.0,0.6262764550264557,6,8,0
0,,111.0,0.02,39,2,79,0,0.016666666666666666,0.325,0.6583333333333333,0.0,0.40238556190465763,0.0004810113195834864,477.0,0.0,0.6262764550264557,6,8,0
0,,112.0,0.02,42,2,76,0,0.016666666666666666,0.35,0.6333333333333333,0.0,0.40238556190465763,0.0004810113195834864,477.0,0.0,0.6262764550264557,6,8,0
0,,113.0,0.02,42,2,76,0,0.016666666666666666,0.35,0.6333333333333333,0.0,0.40238556190465763,0.0004810113195834864,477.0,0.0,0.6262764550264557,6,8,0
0,,114.0,0.02,43,2,75,0,0.016666666666666666,0.35833333333333334,0.625,0.0,0.40238556190465763,0.0004810113195834864,477.0,0.0,0.6262764550264557,6,8,0
0,,115.0,0.02,44,2,74,0,0.016666666666666666,0.36666666666666664,0.6166666666666667,0.0,0.40238556190465763,0.0004810113195834864,477.0,0.0,0.6262764550264557,6,8,0
0,,116.0,0.02,44,2,74,0,0.016666666666666666,0.36666666666666664,0.6166666666666667,0.0,0.40238556190465763,0.0004810113195834864,477.0,0.0,0.6262764550264557,6,8,0
0,,117.0,0.02,45,2,73,0,0.016666666666666666,0.375,0.6083333333333333,0.0,0.40238556190465763,0.0004810113195834864,477.0,0.0,0.6262764550264557,6,8,0
0,,118.0,0.02,44,3,73,0,0.025,0.36666666666666664,0.6083333333333333,0.0,0.37480827532249106,0.0018416876835255485,476.0,0.0,0.6252447089947097,6,8,0
0,,119.0,0.02,46,2,72,0,0.016666666666666666,0.38333333333333336,0.6,0.0,0.40238556190465763,0.0004810113195834864,476.0,0.0,0.6252447089947097,6,8,0
0,,120.0,0.02,47,2,71,0,0.016666666666666666,0.39166666666666666,0.5916666666666667,0.0,0.40238556190465763,0.0004810113195834864,476.0,0.0,0.6252447089947097,6,8,0
0,,121.0,0.02,48,2,70,0,0.016666666666666666,0.4,0.5833333333333334,0.0,0.40238556190465763,0.0004810113195834864,476.0,0.0,0.6252447089947097,6,8,0
0,,122.0,0.02,49,2,69,0,0.016666666666666666,0.4083333333333333,0.575,0.0,0.40238556190465763,0.0004810113195834864,476.0,0.0,0.6252447089947097,6,8,0
0,,123.0,0.02,49,2,69,0,0.016666666666666666,0.4083333333333333,0.575,0.0,0.40238556190465763,0.0004810113195834864,476.0,0.0,0.6252447089947097,6,8,0
0,,124.0,0.02,50,1,69,0,0.008333333333333333,0.4166666666666667,0.575,0.0,0.3804535916424243,0.0,478.0,0.0,0.6259788359788366,6,8,0
0,,125.0,0.02,51,1,68,0,0.008333333333333333,0.425,0.5666666666666667,0.0,0.3804535916424243,0.0,478.0,0.0,0.6259788359788366,6,8,0
0,,126.0,0.02,51,1,68,0,0.008333333333333333,0.425,0.5666666666666667,0.0,0.3804535916424243,0.0,478.0,0.0,0.6259788359788366,6,8,0
0,,127.0,0.02,51,1,68,0,0.008333333333333333,0.425,0.5666666666666667,0.0,0.3804535916424243,0.0,478.0,0.0,0.6259788359788366,6,8,0
0,,128.0,0.02,53,1,66,0,0.008333333333333333,0.44166666666666665,0.55,0.0,0.3804535916424243,0.0,478.0,0.0,0.6259788359788366,6,8,0
0,,129.0,0.02,54,1,65,0,0.008333333333333333,0.45,0.5416666666666666,0.0,0.3804535916424243,0.0,478.0,0.0,0.6259788359788366,6,8,0
0,,130.0,0.02,55,1,64,0,0.008333333333333333,0.4583333333333333,0.5333333333333333,0.0,0.3804535916424243,0.0,478.0,0.0,0.6259788359788366,6,8,0
0,,131.0,0.02,55,1,64,0,0.008333333333333333,0.4583333333333333,0.5333333333333333,0.0,0.3804535916424243,0.0,478.0,0.0,0.6259788359788366,6,8,0
0,,132.0,0.02,55,1,64,0,0.008333333333333333,0.4583333333333333,0.5333333333333333,0.0,0.3804535916424243,0.0,478.0,0.0,0.6259788359788366,6,8,0
0,,133.0,0.02,55,1,64,0,0.008333333333333333,0.4583333333333333,0.5333333333333333,0.0,0.3804535916424243,0.0,478.0,0.0,0.6259788359788366,6,8,0
0,,134.0,0.02,55,1,64,0,0.008333333333333333,0.4583333333333333,0.5333333333333333,0.0,0.3804535916424243,0.0,478.0,0.0,0.6259788359788366,6,8,0
0,,135.0,0.02,56,1,63,0,0.008333333333333333,0.4666666666666667,0.525,0.0,0.3804535916424243,0.0,478.0,0.0,0.6259788359788366,6,8,0
0,,136.0,0.02,56,0,64,0,0.0,0.4666666666666667,0.5333333333333333,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,137.0,0.02,56,0,64,0,0.0,0.4666666666666667,0.5333333333333333,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,138.0,0.02,56,0,64,0,0.0,0.4666666666666667,0.5333333333333333,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,139.0,0.02,56,0,64,0,0.0,0.4666666666666667,0.5333333333333333,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,140.0,0.02,58,0,62,0,0.0,0.48333333333333334,0.5166666666666667,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,141.0,0.02,58,0,62,0,0.0,0.48333333333333334,0.5166666666666667,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,142.0,0.02,58,0,62,0,0.0,0.48333333333333334,0.5166666666666667,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,143.0,0.02,59,0,61,0,0.0,0.49166666666666664,0.5083333333333333,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,144.0,0.02,59,0,61,0,0.0,0.49166666666666664,0.5083333333333333,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,145.0,0.02,60,0,60,0,0.0,0.5,0.5,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,146.0,0.02,63,0,57,0,0.0,0.525,0.475,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,147.0,0.02,63,0,57,0,0.0,0.525,0.475,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,148.0,0.02,64,0,56,0,0.0,0.5333333333333333,0.4666666666666667,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,149.0,0.02,65,0,55,0,0.0,0.5416666666666666,0.4583333333333333,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,150.0,0.02,65,0,55,0,0.0,0.5416666666666666,0.4583333333333333,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,151.0,0.02,66,0,54,0,0.0,0.55,0.45,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,152.0,0.02,66,0,54,0,0.0,0.55,0.45,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,153.0,0.02,67,0,53,0,0.0,0.5583333333333333,0.44166666666666665,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,154.0,0.02,68,0,52,0,0.0,0.5666666666666667,0.43333333333333335,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,155.0,0.02,69,0,51,0,0.0,0.575,0.425,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,156.0,0.02,69,0,51,0,0.0,0.575,0.425,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,157.0,0.02,71,0,49,0,0.0,0.5916666666666667,0.4083333333333333,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,158.0,0.02,71,0,49,0,0.0,0.5916666666666667,0.4083333333333333,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,159.0,0.02,72,0,48,0,0.0,0.6,0.4,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,160.0,0.02,72,0,48,0,0.0,0.6,0.4,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
0,,161.0,0.02,73,0,47,0,0.0,0.6083333333333333,0.39166666666666666,0.0,nan,nan,480.0,0.0,0.6252645502645506,6,8,1
